                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4223,                 3.4009,                 1.7652,                0.17355,                0.55651,                0.24895,                0.13639,                 1.1457,                 3.1849,                 1.6691,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.3829,                 3.0175,                 1.7441,                0.33874,                0.52444,                0.38631,                0.23307,                 1.1626,                 2.3717,                 1.7097,               0.088287,              0.0012871,              0.0012871
                      2,                 1.2965,                 2.0533,                 1.6858,                0.72723,                0.69378,                0.74439,                0.52838,                 1.0684,                 1.4853,                 1.4667,                0.08196,              0.0019604,              0.0019604
                      3,                 1.1406,                 1.5376,                 1.4872,                0.70831,                0.60845,                0.67063,                0.43743,                 1.1778,                 1.4057,                 1.5762,                0.07562,              0.0026198,              0.0026198
                      4,                  1.132,                 1.2397,                 1.4334,                0.74255,                0.78218,                0.83785,                0.60351,                 1.0484,                  1.064,                 1.4212,               0.069265,              0.0032654,              0.0032654
                      5,                 1.0558,                 1.0723,                 1.3572,                0.96692,                0.76175,                0.93313,                0.69553,                 0.9858,                0.82949,                 1.3461,               0.062897,               0.003897,               0.003897
                      6,                 1.0074,                 0.9756,                 1.3143,                 0.8408,                0.86579,                0.92887,                0.71449,                0.96728,                0.69227,                 1.3194,               0.056515,              0.0045149,              0.0045149
                      7,                 0.9688,                0.89176,                 1.2557,                0.83524,                0.92077,                0.93523,                0.66467,                 1.0877,                0.82312,                  1.404,               0.050119,              0.0051188,              0.0051188
                      8,                 0.9995,                0.88153,                 1.2694,                0.71935,                0.71206,                0.83578,                0.55515,                 1.1994,                 1.3376,                 1.4868,               0.043709,               0.005709,               0.005709
                      9,                0.91247,                0.88597,                 1.2152,                0.69116,                0.79879,                0.79542,                0.58235,                 1.0551,                 1.1373,                 1.3755,               0.037285,              0.0062852,              0.0062852
                     10,                0.92921,                0.86707,                 1.2284,                0.88099,                0.86561,                0.91734,                0.67541,                0.96552,                0.71098,                 1.2891,               0.030848,              0.0068476,              0.0068476
                     11,                0.94103,                0.88633,                 1.2427,                0.82523,                0.87069,                0.89582,                0.65198,                 1.0543,                0.87455,                 1.4198,               0.024396,              0.0073961,              0.0073961
                     12,                 0.9382,                0.77233,                 1.2377,                0.78962,                0.56971,                0.77958,                 0.5418,                 1.1332,                 1.6384,                 1.4883,               0.017931,              0.0079308,              0.0079308
                     13,                0.99094,                0.80804,                 1.2843,                0.83751,                0.78345,                0.89045,                0.60254,                 1.1835,                 1.0868,                 1.4821,               0.011452,              0.0084516,              0.0084516
                     14,                 0.9538,                0.76528,                 1.2193,                0.96262,                0.81916,                0.94457,                0.66452,                 1.0334,                0.93295,                 1.3407,               0.008614,               0.008614,               0.008614
                     15,                 0.8876,                0.72418,                 1.1869,                0.89369,                0.82278,                 0.9064,                0.64571,                 1.0398,                0.92925,                 1.3716,               0.008614,               0.008614,               0.008614
                     16,                0.92558,                 0.7941,                 1.2356,                0.88923,                0.73521,                0.87235,                0.61297,                 1.1961,                 1.1479,                 1.5717,               0.008515,               0.008515,               0.008515
                     17,                0.90224,                0.78313,                 1.2495,                0.87586,                0.59532,                0.72584,                0.49447,                 1.3574,                 1.4337,                 1.7032,               0.008416,               0.008416,               0.008416
                     18,                0.89647,                0.76008,                  1.257,                0.83928,                 0.8791,                0.91971,                0.58553,                  1.196,                 1.0141,                 1.4782,               0.008317,               0.008317,               0.008317
                     19,                0.94319,                0.77333,                 1.2491,                0.83446,                0.79298,                0.85578,                0.55294,                 1.2086,                 1.0096,                 1.5639,               0.008218,               0.008218,               0.008218
                     20,                0.90578,                0.73265,                  1.219,                0.88153,                0.71229,                0.86859,                 0.5853,                 1.1594,                0.99791,                  1.506,               0.008119,               0.008119,               0.008119
                     21,                0.91267,                0.72619,                 1.2443,                0.91161,                0.78429,                0.88642,                 0.6187,                   1.14,                0.78973,                 1.5002,                0.00802,                0.00802,                0.00802
                     22,                0.89539,                0.70799,                 1.2124,                0.88731,                0.71367,                0.88607,                0.66158,                 1.0646,                 1.0432,                 1.4166,               0.007921,               0.007921,               0.007921
                     23,                0.87059,                0.66031,                 1.2079,                0.85849,                0.92243,                0.93713,                0.66251,                 1.0725,                0.70198,                 1.4098,               0.007822,               0.007822,               0.007822
                     24,                0.88704,                0.70022,                 1.2143,                0.81822,                0.86951,                 0.8922,                0.66137,                 1.0318,                 1.0154,                  1.383,               0.007723,               0.007723,               0.007723
                     25,                0.90405,                0.73521,                  1.227,                0.87616,                0.83714,                0.90587,                0.67325,                 1.0004,                0.97718,                 1.3383,               0.007624,               0.007624,               0.007624
                     26,                0.90794,                0.71107,                 1.2178,                0.85661,                0.82069,                0.88339,                0.64961,                 0.9905,                0.83154,                 1.3298,               0.007525,               0.007525,               0.007525
                     27,                0.89178,                0.66773,                 1.2102,                0.81035,                0.77624,                0.89281,                0.64694,                 1.0992,                0.86474,                 1.3949,               0.007426,               0.007426,               0.007426
                     28,                0.83464,                0.64416,                 1.1661,                0.76781,                0.71093,                 0.7972,                0.56351,                 1.1083,                  1.387,                 1.4344,               0.007327,               0.007327,               0.007327
                     29,                0.84555,                0.61737,                  1.181,                0.87246,                0.74979,                 0.8253,                0.59363,                 1.1202,                0.90498,                  1.459,               0.007228,               0.007228,               0.007228
                     30,                0.83794,                0.64272,                 1.1792,                0.97907,                0.77849,                0.82158,                0.57547,                 1.3557,                  0.935,                 1.7679,               0.007129,               0.007129,               0.007129
                     31,                  0.833,                0.62939,                 1.1833,                0.87277,                0.78217,                0.78879,                0.52751,                 1.3781,                 1.0498,                 1.8442,                0.00703,                0.00703,                0.00703
                     32,                0.84797,                0.65196,                 1.2163,                0.88249,                0.80359,                0.80527,                0.57716,                 1.3013,                 1.0525,                 1.7133,               0.006931,               0.006931,               0.006931
                     33,                0.84773,                0.63359,                 1.1909,                0.90187,                0.85057,                0.87344,                0.62986,                 1.1336,                0.83341,                 1.5204,               0.006832,               0.006832,               0.006832
                     34,                0.85509,                0.63423,                  1.188,                0.90027,                0.82862,                0.87166,                0.64796,                  1.119,                0.72162,                 1.4883,               0.006733,               0.006733,               0.006733
                     35,                0.82664,                0.64802,                 1.2019,                0.79946,                0.80046,                0.82428,                0.58482,                 1.1717,                0.86826,                 1.5472,               0.006634,               0.006634,               0.006634
                     36,                0.82939,                0.62869,                 1.1863,                0.84826,                0.84846,                0.88214,                0.62117,                 1.1009,                0.78682,                 1.5046,               0.006535,               0.006535,               0.006535
                     37,                0.81953,                 0.5956,                 1.1712,                0.83956,                0.82609,                0.90083,                0.64137,                 1.0143,                0.78743,                 1.3794,               0.006436,               0.006436,               0.006436
                     38,                0.82377,                0.62049,                 1.1714,                0.89549,                0.84946,                0.94782,                0.69149,                 1.0472,                0.64265,                  1.378,               0.006337,               0.006337,               0.006337
                     39,                0.81724,                0.59234,                 1.1848,                0.92914,                0.89992,                0.95844,                 0.7039,                 1.0853,                0.60286,                 1.3894,               0.006238,               0.006238,               0.006238
                     40,                0.78849,                 0.5802,                 1.1376,                0.90594,                0.86476,                0.93831,                0.70423,                 1.0375,                0.64074,                 1.3801,               0.006139,               0.006139,               0.006139
                     41,                 0.8006,                0.60133,                 1.1673,                0.94679,                0.81653,                0.90161,                0.68003,                0.99922,                0.70175,                 1.3369,                0.00604,                0.00604,                0.00604
                     42,                0.75531,                0.55233,                 1.1382,                0.94553,                0.91094,                0.96593,                0.70827,                 1.0264,                0.61243,                  1.355,               0.005941,               0.005941,               0.005941
                     43,                0.76005,                0.56164,                 1.1346,                0.96249,                0.96696,                0.98546,                0.71844,                 1.0675,                0.55107,                 1.4266,               0.005842,               0.005842,               0.005842
                     44,                0.75547,                0.52683,                 1.1329,                0.91972,                0.95892,                0.98207,                0.71679,                 1.0223,                0.56745,                 1.3801,               0.005743,               0.005743,               0.005743
                     45,                0.75697,                0.52822,                 1.1286,                0.93806,                0.92652,                0.96761,                0.72462,                0.99893,                 0.5458,                 1.3397,               0.005644,               0.005644,               0.005644
                     46,                0.76698,                0.56363,                 1.1334,                0.94856,                0.94326,                0.97559,                0.73934,                0.97558,                0.55553,                 1.3164,               0.005545,               0.005545,               0.005545
                     47,                0.74502,                0.53767,                 1.1244,                0.93035,                0.96188,                0.97989,                0.74246,                0.95039,                0.57166,                 1.2831,               0.005446,               0.005446,               0.005446
                     48,                0.70439,                0.51659,                 1.0844,                0.97986,                0.94473,                0.98827,                0.76954,                0.97098,                0.53184,                 1.3181,               0.005347,               0.005347,               0.005347
                     49,                 0.7351,                0.52551,                 1.1307,                0.94038,                0.95064,                0.97769,                0.73692,                 0.9933,                 0.5253,                 1.3522,               0.005248,               0.005248,               0.005248
                     50,                0.71182,                0.52203,                 1.1107,                0.97168,                0.95027,                0.97893,                0.75671,                 1.0063,                0.53895,                 1.3487,               0.005149,               0.005149,               0.005149
                     51,                 0.7233,                0.54058,                 1.1328,                0.95534,                   0.95,                0.97342,                0.73454,                0.99262,                0.52807,                 1.3613,                0.00505,                0.00505,                0.00505
                     52,                0.71899,                0.51448,                 1.1041,                0.98681,                0.94093,                0.96919,                0.72577,                 1.0273,                0.56582,                  1.397,               0.004951,               0.004951,               0.004951
                     53,                0.71275,                0.51352,                 1.1032,                0.99665,                0.95732,                 0.9791,                0.72406,                 1.0259,                0.53185,                 1.3779,               0.004852,               0.004852,               0.004852
                     54,                0.68677,                0.50187,                  1.101,                 0.9367,                0.96055,                0.97259,                0.70063,                 1.1188,                0.58439,                 1.4803,               0.004753,               0.004753,               0.004753
                     55,                0.67895,                0.49984,                 1.0753,                0.96484,                0.95836,                0.97651,                0.72651,                 1.0651,                0.54963,                 1.4493,               0.004654,               0.004654,               0.004654
                     56,                0.69754,                0.50386,                 1.0997,                0.99049,                0.95177,                0.98047,                0.74487,                 1.0404,                0.49107,                 1.4135,               0.004555,               0.004555,               0.004555
                     57,                0.67817,                0.47266,                 1.0825,                0.99125,                0.93554,                0.97329,                 0.7448,                0.94677,                0.52025,                 1.3263,               0.004456,               0.004456,               0.004456
                     58,                 0.6663,                0.49509,                 1.0792,                0.98456,                0.91827,                0.97104,                 0.7449,                0.99057,                0.49546,                 1.3617,               0.004357,               0.004357,               0.004357
                     59,                 0.6668,                0.47638,                 1.0649,                0.91303,                0.97277,                0.98359,                0.75775,                0.95523,                 0.4754,                 1.3166,               0.004258,               0.004258,               0.004258
                     60,                0.66725,                0.47559,                 1.0772,                 0.9451,                0.97328,                0.98452,                0.76166,                0.93737,                0.47904,                 1.2754,               0.004159,               0.004159,               0.004159
                     61,                0.67203,                0.48143,                 1.0752,                0.97905,                0.94425,                0.98075,                0.74268,                0.95645,                0.46316,                  1.304,                0.00406,                0.00406,                0.00406
                     62,                 0.6614,                0.45223,                 1.0812,                 0.9802,                  0.947,                0.98459,                0.77228,                 0.9167,                0.47044,                 1.2934,               0.003961,               0.003961,               0.003961
                     63,                0.62999,                0.43925,                 1.0548,                0.99291,                0.95321,                 0.9783,                0.75922,                0.92154,                0.47906,                 1.2816,               0.003862,               0.003862,               0.003862
                     64,                0.63518,                0.47356,                 1.0674,                0.98847,                0.97701,                0.98349,                 0.7683,                0.94269,                0.44027,                 1.2862,               0.003763,               0.003763,               0.003763
                     65,                0.60753,                0.44451,                 1.0296,                0.99026,                0.97333,                0.97808,                0.76706,                0.94344,                0.45879,                 1.2823,               0.003664,               0.003664,               0.003664
                     66,                0.64771,                0.45467,                 1.0712,                0.99049,                0.93458,                0.97217,                0.75555,                0.94395,                0.43498,                 1.2925,               0.003565,               0.003565,               0.003565
                     67,                0.62546,                0.43762,                 1.0671,                0.94698,                0.94818,                0.97336,                0.75155,                0.97563,                 0.4597,                  1.326,               0.003466,               0.003466,               0.003466
                     68,                0.61099,                0.43636,                 1.0428,                0.96866,                0.93467,                 0.9793,                0.74758,                0.98534,                0.46264,                 1.3032,               0.003367,               0.003367,               0.003367
                     69,                0.59731,                0.42777,                 1.0402,                  0.974,                0.91181,                0.95487,                0.71442,                 1.0266,                0.47075,                 1.3681,               0.003268,               0.003268,               0.003268
                     70,                0.58725,                0.41909,                 1.0437,                0.97056,                0.94649,                0.96586,                0.73646,                 1.0228,                0.49228,                 1.3445,               0.003169,               0.003169,               0.003169
                     71,                0.58167,                0.41024,                 1.0247,                0.98322,                0.95321,                0.98219,                0.75239,                0.98756,                0.45784,                 1.3293,                0.00307,                0.00307,                0.00307
                     72,                 0.5828,                 0.4081,                 1.0357,                0.95058,                0.96034,                0.98124,                0.73838,                0.98075,                 0.4693,                 1.3237,               0.002971,               0.002971,               0.002971
                     73,                0.59008,                0.40654,                 1.0477,                0.98932,                0.95781,                0.98986,                0.76498,                0.97327,                 0.4351,                 1.3099,               0.002872,               0.002872,               0.002872
                     74,                0.58652,                0.40745,                 1.0449,                0.95324,                0.95217,                0.98413,                0.75424,                0.98309,                0.45922,                 1.3146,               0.002773,               0.002773,               0.002773
                     75,                 0.5765,                0.42053,                 1.0403,                0.98662,                  0.927,                0.97729,                0.76133,                0.93557,                0.46395,                 1.2717,               0.002674,               0.002674,               0.002674
                     76,                 0.5747,                 0.3977,                 1.0353,                0.96388,                0.96921,                0.97375,                0.75851,                0.93435,                0.47379,                 1.2981,               0.002575,               0.002575,               0.002575
                     77,                 0.5491,                0.39346,                 1.0195,                0.96749,                 0.9673,                0.97454,                0.73263,                0.97205,                0.45667,                 1.3338,               0.002476,               0.002476,               0.002476
                     78,                0.56268,                0.39776,                 1.0198,                0.96827,                0.96719,                0.98078,                0.74647,                0.96591,                0.45836,                 1.3318,               0.002377,               0.002377,               0.002377
                     79,                0.52351,                0.37121,                0.98458,                0.96777,                0.95915,                 0.9797,                0.75292,                0.97983,                0.47197,                 1.3441,               0.002278,               0.002278,               0.002278
                     80,                0.56011,                0.40076,                 1.0368,                0.96813,                0.96139,                0.98729,                0.74498,                 1.0198,                0.47558,                 1.3772,               0.002179,               0.002179,               0.002179
                     81,                0.56836,                0.40724,                 1.0404,                0.96086,                0.97046,                0.98874,                0.75041,                0.97597,                0.46865,                 1.3197,                0.00208,                0.00208,                0.00208
                     82,                0.52059,                0.38513,                 1.0004,                0.97783,                0.93586,                0.98688,                 0.7645,                0.95842,                0.44436,                 1.3036,               0.001981,               0.001981,               0.001981
                     83,                0.54923,                0.39994,                 1.0339,                0.98627,                0.92797,                0.98831,                0.76202,                0.95693,                0.43511,                 1.3035,               0.001882,               0.001882,               0.001882
                     84,                0.53146,                0.36615,                 1.0167,                0.98634,                0.92626,                0.98848,                 0.7534,                0.98253,                0.46087,                 1.3083,               0.001783,               0.001783,               0.001783
                     85,                0.52931,                 0.3659,                 1.0159,                0.97744,                0.92882,                0.98838,                 0.7395,                 1.0051,                0.47422,                 1.3334,               0.001684,               0.001684,               0.001684
                     86,                0.51947,                0.37835,                 1.0048,                0.99901,                0.92778,                0.98875,                0.74503,                 1.0034,                 0.4944,                 1.3251,               0.001585,               0.001585,               0.001585
                     87,                0.50496,                 0.3632,                 1.0007,                0.95793,                0.95514,                0.98807,                0.76157,                0.97942,                0.48292,                 1.3064,               0.001486,               0.001486,               0.001486
                     88,                0.50908,                0.37244,                0.99515,                0.99117,                0.92282,                0.98807,                0.77408,                0.96353,                0.49064,                 1.2907,               0.001387,               0.001387,               0.001387
                     89,                0.51606,                0.35649,                0.99922,                0.96868,                0.93666,                 0.9867,                0.77942,                0.94142,                0.47646,                 1.2716,               0.001288,               0.001288,               0.001288
                     90,                0.49775,                0.35953,                0.98368,                 0.9685,                 0.9356,                 0.9777,                0.77346,                0.93366,                0.48071,                 1.2705,               0.001189,               0.001189,               0.001189
                     91,                0.48571,                0.36696,                0.99205,                0.96967,                0.93334,                 0.9783,                0.76829,                0.95524,                0.47928,                  1.287,                0.00109,                0.00109,                0.00109
                     92,                 0.4991,                 0.3666,                0.98932,                0.96323,                 0.9415,                0.98229,                0.77076,                0.93652,                0.45944,                 1.2752,               0.000991,               0.000991,               0.000991
                     93,                0.49249,                0.35267,                 0.9993,                0.98737,                0.93775,                 0.9876,                0.76549,                0.94938,                0.44826,                 1.2832,               0.000892,               0.000892,               0.000892
                     94,                0.46645,                0.34016,                 0.9751,                0.99239,                0.95122,                0.98869,                0.76624,                0.95412,                0.44031,                  1.285,               0.000793,               0.000793,               0.000793
                     95,                0.46554,                 0.3363,                0.97519,                  0.989,                0.95629,                0.98868,                0.76383,                0.95185,                0.44221,                 1.2752,               0.000694,               0.000694,               0.000694
                     96,                0.44934,                0.32243,                0.97431,                0.99013,                0.96028,                0.98896,                0.76004,                0.96042,                0.44195,                 1.2771,               0.000595,               0.000595,               0.000595
                     97,                0.46003,                 0.3402,                0.97223,                0.99015,                0.96034,                0.98973,                0.76558,                0.96435,                0.44041,                 1.2775,               0.000496,               0.000496,               0.000496
                     98,                0.46873,                0.33494,                0.97912,                0.98974,                0.95864,                0.98973,                0.76206,                0.96275,                0.44349,                 1.2782,               0.000397,               0.000397,               0.000397
                     99,                0.44748,                0.32306,                0.95817,                 0.9889,                0.95709,                0.99004,                 0.7653,                0.95874,                0.44512,                 1.2745,               0.000298,               0.000298,               0.000298
